0,29
1,29
2,29
3,29
4,29
5,29
6,29
7,29
8,29
9,29
10,29
11,29
12,29
13,29
14,29
15,29
16,29
17,29
18,29
19,29
20,29
21,29
22,29
23,29
24,29
25,29
26,29
27,29
28,29
29,29
30,29
31,29
32,29
33,10
34,20
35,29
36,29
37,29
38,29
39,15
40,20
41,20
42,29
43,29
44,15
45,29
46,10
47,29
48,29
49,20
50,29
51,29
52,29
53,29
54,29
55,29
56,29
57,29
58,10
59,15
60,24
61,29
62,24
63,29
64,29
65,29
66,29
67,29
68,29
69,29
70,29
71,29
72,29
73,20
74,29
75,29
76,29
77,29
78,29
79,29
80,29
81,29
82,29
83,29
84,29
85,29
86,29
87,29
88,29
89,29
90,29
91,20
92,29
93,20
94,29
95,29
96,20
97,29
98,29
99,29
100,29
101,29
102,29
103,29
104,29
105,20
106,29
107,29
108,29
109,29
110,29
111,29
112,29
113,29
114,29
115,29
116,29
117,29
118,29
119,29
120,29
121,29
122,29
123,20
124,10
125,20
126,29
127,29
128,29
129,29
130,15
131,29
132,29
133,29
134,29
135,29
136,29
137,29
138,29
139,29
140,29
141,29
142,29
143,29
144,29
145,15
146,15
147,29
148,29
149,20
150,24
151,34
152,15
153,49
154,29
155,29
156,29
157,29
158,29
159,29
160,29
161,10
162,29
163,29
164,29
165,29
166,25
167,25
168,20
169,34
170,29
171,34
172,29
173,29
174,34
175,29
176,24
177,29
178,29
179,29
180,20
181,29
182,29
183,10
184,15
185,20
186,29
187,34
188,73
189,78
190,73
191,29
192,29
193,29
194,29
195,29
196,29
197,29
198,29
199,29
200,29
201,29
202,29
203,29
204,20
205,20
206,20
207,20
208,29
209,29
210,29
211,29
212,29
213,29
214,29
215,29
216,29
217,29
218,29
219,29
220,29
221,29
222,29
223,29
224,29
225,29
226,29
227,29
228,29
229,29
230,29
231,29
232,29
233,29
234,29
235,29
236,20
237,20
238,20
239,20
240,29
241,29
242,29
243,29
244,29
245,29
246,29
247,29
248,29
249,29
250,29
251,29
252,29
253,29
254,29
255,29
